starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 31 11:28:14 2020	1585628894	64	128	192	123
Tue Mar 31 11:28:14 2020	1585628894	64	128	192	123
Tue Mar 31 11:28:14 2020	1585628894	64	128	192	123
Tue Mar 31 11:28:14 2020	1585628894	73	119	192	114
Tue Mar 31 11:28:14 2020	1585628894	74	119	193	114
Tue Mar 31 11:28:14 2020	1585628894	105	128	233	123
Tue Mar 31 11:28:14 2020	1585628894	120	117	237	101
Tue Mar 31 11:28:14 2020	1585628894	164	74	238	72
Tue Mar 31 11:28:14 2020	1585628894	121	117	238	100
Tue Mar 31 11:28:14 2020	1585628894	171	67	239	50
Tue Mar 31 11:28:14 2020	1585628894	163	77	239	75
Tue Mar 31 11:28:14 2020	1585628894	163	77	240	75
Tue Mar 31 11:28:14 2020	1585628894	164	75	240	74
Tue Mar 31 11:28:11 2020	1585628891	201	109	310	76
Tue Mar 31 11:28:11 2020	1585628891	201	110	311	77
Tue Mar 31 11:28:11 2020	1585628891	203	108	311	75
Tue Mar 31 11:28:11 2020	1585628891	203	108	311	75
Tue Mar 31 11:28:11 2020	1585628891	203	108	312	75
Tue Mar 31 11:28:11 2020	1585628891	203	109	312	76
Tue Mar 31 11:28:11 2020	1585628891	204	108	312	75
Tue Mar 31 11:28:13 2020	1585628893	240	76	316	67
Tue Mar 31 11:28:13 2020	1585628893	240	76	316	68
Tue Mar 31 11:28:13 2020	1585628893	240	76	316	67
Tue Mar 31 11:28:13 2020	1585628893	241	76	317	67
Tue Mar 31 11:28:13 2020	1585628893	243	76	319	68
Tue Mar 31 11:28:13 2020	1585628893	243	76	320	67
Tue Mar 31 11:28:13 2020	1585628893	243	76	320	68
Tue Mar 31 11:28:13 2020	1585628893	243	76	320	68
Tue Mar 31 11:28:15 2020	1585628895	102	260	361	200
Tue Mar 31 11:28:13 2020	1585628893	289	109	398	108
Tue Mar 31 11:28:13 2020	1585628893	290	109	399	108
Tue Mar 31 11:28:13 2020	1585628893	291	109	401	108
Tue Mar 31 11:28:13 2020	1585628893	239	177	417	176
Tue Mar 31 11:28:13 2020	1585628893	308	109	417	108
Tue Mar 31 11:28:15 2020	1585628895	469	50	519	49
Tue Mar 31 11:28:15 2020	1585628895	469	52	521	51
Tue Mar 31 11:28:11 2020	1585628891	251	280	531	231
Tue Mar 31 11:28:11 2020	1585628891	252	280	532	231
Tue Mar 31 11:28:11 2020	1585628891	251	281	532	231
Tue Mar 31 11:28:11 2020	1585628891	262	271	533	220
Tue Mar 31 11:28:11 2020	1585628891	251	281	533	231
Tue Mar 31 11:28:11 2020	1585628891	254	280	535	231
Tue Mar 31 11:28:11 2020	1585628891	265	271	536	220
Tue Mar 31 11:28:11 2020	1585628891	255	281	536	231
Tue Mar 31 11:28:11 2020	1585628891	254	282	536	232
Tue Mar 31 11:28:11 2020	1585628891	255	281	537	232
Tue Mar 31 11:28:11 2020	1585628891	255	281	537	231
Tue Mar 31 11:28:12 2020	1585628892	308	242	549	239
Tue Mar 31 11:28:12 2020	1585628892	308	242	550	239
Tue Mar 31 11:28:12 2020	1585628892	325	226	551	223
Tue Mar 31 11:28:12 2020	1585628892	310	242	553	239
Tue Mar 31 11:28:12 2020	1585628892	328	240	568	237
Tue Mar 31 11:28:14 2020	1585628894	372	201	573	139
Tue Mar 31 11:28:14 2020	1585628894	373	201	574	139
Tue Mar 31 11:28:14 2020	1585628894	373	201	574	139
Tue Mar 31 11:28:14 2020	1585628894	373	201	574	139
Tue Mar 31 11:28:14 2020	1585628894	373	201	574	138
Tue Mar 31 11:28:14 2020	1585628894	374	202	575	140
Tue Mar 31 11:28:14 2020	1585628894	374	201	576	139
Tue Mar 31 11:28:14 2020	1585628894	375	201	576	139
Tue Mar 31 11:28:14 2020	1585628894	375	201	576	138
Tue Mar 31 11:28:14 2020	1585628894	375	202	577	140
Tue Mar 31 11:28:14 2020	1585628894	375	202	577	140
Tue Mar 31 11:28:14 2020	1585628894	377	201	578	138
Tue Mar 31 11:28:14 2020	1585628894	505	73	578	63
Tue Mar 31 11:28:14 2020	1585628894	505	74	579	62
Tue Mar 31 11:28:14 2020	1585628894	506	73	580	63
Tue Mar 31 11:28:14 2020	1585628894	507	73	580	63
Tue Mar 31 11:28:14 2020	1585628894	507	73	581	62
Tue Mar 31 11:28:14 2020	1585628894	508	73	581	63
Tue Mar 31 11:28:14 2020	1585628894	508	73	581	62
Tue Mar 31 11:28:12 2020	1585628892	385	200	585	132
Tue Mar 31 11:28:12 2020	1585628892	385	200	585	132
Tue Mar 31 11:28:12 2020	1585628892	386	200	585	132
Tue Mar 31 11:28:12 2020	1585628892	386	200	586	132
Tue Mar 31 11:28:12 2020	1585628892	519	76	595	66
Tue Mar 31 11:28:15 2020	1585628895	163	448	611	413
Tue Mar 31 11:28:15 2020	1585628895	163	448	611	413
Tue Mar 31 11:28:10 2020	1585628890	558	62	619	60
Tue Mar 31 11:28:10 2020	1585628890	558	61	619	60
Tue Mar 31 11:28:15 2020	1585628895	576	52	629	51
Tue Mar 31 11:28:13 2020	1585628893	571	66	637	64
Tue Mar 31 11:28:13 2020	1585628893	571	67	638	65
Tue Mar 31 11:28:14 2020	1585628894	123	517	640	104
Tue Mar 31 11:28:13 2020	1585628893	110	530	640	113
Tue Mar 31 11:28:14 2020	1585628894	123	517	641	104
Tue Mar 31 11:28:13 2020	1585628893	572	72	644	70
Tue Mar 31 11:28:13 2020	1585628893	572	72	644	70
Tue Mar 31 11:28:13 2020	1585628893	572	72	644	70
Tue Mar 31 11:28:13 2020	1585628893	572	72	644	70
Tue Mar 31 11:28:15 2020	1585628895	562	82	645	81
Tue Mar 31 11:28:13 2020	1585628893	584	62	646	61
Tue Mar 31 11:28:15 2020	1585628895	568	83	651	81
Tue Mar 31 11:28:10 2020	1585628890	210	445	654	441
Tue Mar 31 11:28:15 2020	1585628895	559	96	655	82
Tue Mar 31 11:28:15 2020	1585628895	559	96	656	82
Tue Mar 31 11:28:15 2020	1585628895	560	97	657	82
Tue Mar 31 11:28:15 2020	1585628895	560	96	657	82
Tue Mar 31 11:28:15 2020	1585628895	560	97	657	82
Tue Mar 31 11:28:15 2020	1585628895	560	97	657	82
Tue Mar 31 11:28:15 2020	1585628895	562	96	658	82
Tue Mar 31 11:28:15 2020	1585628895	561	97	658	83
Tue Mar 31 11:28:15 2020	1585628895	562	97	659	83
Tue Mar 31 11:28:15 2020	1585628895	561	98	659	82
Tue Mar 31 11:28:15 2020	1585628895	562	98	659	83
Tue Mar 31 11:28:15 2020	1585628895	563	97	659	83
Tue Mar 31 11:28:15 2020	1585628895	594	66	660	65
Tue Mar 31 11:28:15 2020	1585628895	563	98	661	83
Tue Mar 31 11:28:15 2020	1585628895	563	98	661	83
Tue Mar 31 11:28:15 2020	1585628895	563	98	661	83
Tue Mar 31 11:28:14 2020	1585628894	499	163	662	161
Tue Mar 31 11:28:15 2020	1585628895	563	98	662	95
Tue Mar 31 11:28:14 2020	1585628894	499	163	662	161
Tue Mar 31 11:28:15 2020	1585628895	563	98	662	83
Tue Mar 31 11:28:15 2020	1585628895	564	98	662	84
Tue Mar 31 11:28:15 2020	1585628895	564	99	663	96
Tue Mar 31 11:28:15 2020	1585628895	566	99	665	84
Tue Mar 31 11:28:15 2020	1585628895	567	100	666	96
Tue Mar 31 11:28:13 2020	1585628893	212	458	670	417
Tue Mar 31 11:28:10 2020	1585628890	200	470	670	467
Tue Mar 31 11:28:13 2020	1585628893	212	458	670	417
Tue Mar 31 11:28:10 2020	1585628890	201	470	671	467
Tue Mar 31 11:28:13 2020	1585628893	213	458	671	417
Tue Mar 31 11:28:13 2020	1585628893	213	458	672	418
Tue Mar 31 11:28:13 2020	1585628893	214	458	672	417
Tue Mar 31 11:28:15 2020	1585628895	579	95	674	82
Tue Mar 31 11:28:14 2020	1585628894	518	162	680	161
Tue Mar 31 11:28:10 2020	1585628890	459	226	685	221
Tue Mar 31 11:28:10 2020	1585628890	461	225	686	220
Tue Mar 31 11:28:10 2020	1585628890	462	226	688	221
Tue Mar 31 11:28:10 2020	1585628890	462	225	688	220
Tue Mar 31 11:28:10 2020	1585628890	463	225	688	220
Tue Mar 31 11:28:13 2020	1585628893	625	64	689	55
Tue Mar 31 11:28:13 2020	1585628893	625	64	689	56
Tue Mar 31 11:28:13 2020	1585628893	624	65	689	63
Tue Mar 31 11:28:13 2020	1585628893	627	63	691	55
Tue Mar 31 11:28:13 2020	1585628893	625	67	691	65
Tue Mar 31 11:28:13 2020	1585628893	625	67	692	65
Tue Mar 31 11:28:13 2020	1585628893	628	66	694	58
Tue Mar 31 11:28:13 2020	1585628893	626	68	694	66
Tue Mar 31 11:28:13 2020	1585628893	628	67	695	65
Tue Mar 31 11:28:13 2020	1585628893	629	67	697	66
Tue Mar 31 11:28:13 2020	1585628893	628	69	697	67
Tue Mar 31 11:28:13 2020	1585628893	629	69	698	67
Tue Mar 31 11:28:13 2020	1585628893	628	70	698	68
Tue Mar 31 11:28:13 2020	1585628893	629	69	699	67
Tue Mar 31 11:28:13 2020	1585628893	629	72	701	70
Tue Mar 31 11:28:13 2020	1585628893	629	72	701	70
Tue Mar 31 11:28:10 2020	1585628890	100	603	702	380
Tue Mar 31 11:28:10 2020	1585628890	101	603	704	380
Tue Mar 31 11:28:10 2020	1585628890	480	227	707	222
Tue Mar 31 11:28:10 2020	1585628890	481	227	708	222
Tue Mar 31 11:28:10 2020	1585628890	482	227	708	222
Tue Mar 31 11:28:13 2020	1585628893	624	111	735	103
Tue Mar 31 11:28:11 2020	1585628891	478	279	757	229
Tue Mar 31 11:28:11 2020	1585628891	479	280	758	229
Tue Mar 31 11:28:12 2020	1585628892	549	282	830	278
Tue Mar 31 11:28:12 2020	1585628892	551	282	833	278
Tue Mar 31 11:28:12 2020	1585628892	551	282	833	278
Tue Mar 31 11:28:12 2020	1585628892	551	282	834	279
Tue Mar 31 11:28:12 2020	1585628892	553	282	835	278
Tue Mar 31 11:28:12 2020	1585628892	553	283	835	279
Tue Mar 31 11:28:13 2020	1585628893	625	230	855	225
Tue Mar 31 11:28:10 2020	1585628890	196	660	856	440
Tue Mar 31 11:28:13 2020	1585628893	628	232	860	227
Tue Mar 31 11:28:12 2020	1585628892	578	283	861	278
Tue Mar 31 11:28:13 2020	1585628893	630	232	862	228
Tue Mar 31 11:28:12 2020	1585628892	581	283	864	278
Tue Mar 31 11:28:12 2020	1585628892	582	283	865	279
Tue Mar 31 11:28:12 2020	1585628892	586	281	867	277
Tue Mar 31 11:28:10 2020	1585628890	201	668	870	512
Tue Mar 31 11:28:10 2020	1585628890	662	249	911	245
Tue Mar 31 11:28:10 2020	1585628890	657	254	911	251
Tue Mar 31 11:28:10 2020	1585628890	660	254	914	251
Tue Mar 31 11:28:10 2020	1585628890	660	254	914	251
Tue Mar 31 11:28:10 2020	1585628890	660	255	915	251
Tue Mar 31 11:28:10 2020	1585628890	661	255	916	251
Tue Mar 31 11:28:10 2020	1585628890	661	254	916	251
Tue Mar 31 11:28:10 2020	1585628890	662	255	916	251
Tue Mar 31 11:28:15 2020	1585628895	559	358	917	298
Tue Mar 31 11:28:10 2020	1585628890	663	255	918	252
Tue Mar 31 11:28:10 2020	1585628890	665	254	919	251
Tue Mar 31 11:28:15 2020	1585628895	562	358	920	298
Tue Mar 31 11:28:10 2020	1585628890	668	256	923	252
Tue Mar 31 11:28:10 2020	1585628890	662	264	926	262
Tue Mar 31 11:28:10 2020	1585628890	679	255	933	252
Tue Mar 31 11:28:10 2020	1585628890	678	255	934	252
Tue Mar 31 11:28:10 2020	1585628890	678	256	934	252
Tue Mar 31 11:28:10 2020	1585628890	680	255	935	252
Tue Mar 31 11:28:10 2020	1585628890	688	254	942	250
Tue Mar 31 11:28:10 2020	1585628890	688	255	943	251
Tue Mar 31 11:28:15 2020	1585628895	260	776	1036	747
Tue Mar 31 11:28:15 2020	1585628895	261	775	1036	746
Tue Mar 31 11:28:15 2020	1585628895	262	775	1036	745
Tue Mar 31 11:28:15 2020	1585628895	261	776	1036	746
Tue Mar 31 11:28:14 2020	1585628894	525	568	1093	193
Tue Mar 31 11:28:12 2020	1585628892	799	328	1127	288
Tue Mar 31 11:28:12 2020	1585628892	798	330	1128	325
Tue Mar 31 11:28:12 2020	1585628892	799	329	1128	325
Tue Mar 31 11:28:12 2020	1585628892	799	329	1128	325
Tue Mar 31 11:28:12 2020	1585628892	800	329	1129	301
Tue Mar 31 11:28:12 2020	1585628892	800	330	1130	325
Tue Mar 31 11:28:12 2020	1585628892	802	329	1131	233
Tue Mar 31 11:28:12 2020	1585628892	803	330	1133	326
